x,alpha10,alpha08,alpha06,alpha04,alpha00
3.60069,0.42613,0.33931,0.27796,0.22781,0.18912
3.60073,0.42613,0.3393,0.27796,0.22781,0.18912
3.60367,0.42588,0.33903,0.27787,0.22773,0.189
3.60499,0.42577,0.33891,0.27783,0.22769,0.18895
3.61791,0.42472,0.33775,0.27741,0.22733,0.18843
3.78683,0.41147,0.32527,0.26822,0.22182,0.18166
3.79889,0.41029,0.32451,0.26756,0.22142,0.18119
3.80038,0.41014,0.32442,0.26747,0.22137,0.18113
3.80144,0.41003,0.32435,0.26742,0.22133,0.18109
3.81169,0.40895,0.32372,0.26686,0.22099,0.18069
3.99608,0.38503,0.31288,0.2571,0.21407,0.17476
3.99945,0.38468,0.31267,0.25692,0.21391,0.17469
4.00109,0.38451,0.31258,0.25683,0.21383,0.17465
4.00741,0.38387,0.3122,0.2565,0.21352,0.17452
4.20191,0.36869,0.30036,0.2463,0.20173,0.1722
4.20269,0.36863,0.30031,0.24626,0.20168,0.17219
4.20914,0.36811,0.29992,0.24591,0.20128,0.17211
4.21237,0.36785,0.29972,0.24573,0.20108,0.17207
4.39165,0.35063,0.28858,0.23795,0.19268,0.16856
4.3974,0.35012,0.28821,0.23769,0.19253,0.16839
4.39804,0.35007,0.28817,0.23766,0.19252,0.16838
4.40584,0.34939,0.28767,0.23732,0.19233,0.16815
4.59283,0.33571,0.27764,0.229,0.19021,0.16191
4.5946,0.3356,0.27755,0.22892,0.19019,0.16186
4.60414,0.33502,0.27703,0.22849,0.19007,0.16155
4.60797,0.33479,0.27682,0.22832,0.19001,0.16143
4.79648,0.3257,0.26666,0.22123,0.18375,0.15695
4.79803,0.32563,0.26653,0.22118,0.18367,0.15693
4.79957,0.32555,0.26641,0.22114,0.18358,0.15691
4.80056,0.3255,0.26633,0.22111,0.18353,0.1569
4.80943,0.32505,0.2657,0.22085,0.18305,0.15679
4.99176,0.31543,0.25482,0.2175,0.17454,0.15696
4.99974,0.315,0.25441,0.21734,0.17443,0.15701
5.00021,0.31498,0.25439,0.21733,0.17443,0.15701
5.00134,0.31491,0.25433,0.21731,0.17442,0.15702
5.18474,0.30477,0.24756,0.21149,0.17834,0.15587
5.2012,0.30381,0.24707,0.21087,0.17867,0.15549
5.20205,0.30376,0.24704,0.21083,0.17869,0.15546
5.203,0.30371,0.24702,0.2108,0.1787,0.15544
5.20978,0.30331,0.24681,0.21054,0.17881,0.15527
5.40272,0.29794,0.24072,0.20302,0.17797,0.14864
5.41713,0.2975,0.24026,0.20245,0.17776,0.14809
5.42848,0.29714,0.23989,0.202,0.17759,0.14766
5.47918,0.29557,0.23825,0.20001,0.17685,0.14574
5.48823,0.29528,0.23795,0.19966,0.17673,0.1454
